char,english,pinyin,hsk,total,as_head,as_mark,role
惑,"confuse, mislead, baffle",huò,6,1,0,1,mark only
策,"scheme, plan",cè,6,1,0,1,mark only
典,"law, canon",diǎn,3,1,0,1,mark only
兖,"establish",yǎn,,1,0,1,mark only
窗,"window",chuāng,4,1,0,1,mark only
斐,"graceful, elegant, beautiful",fěi,,1,0,1,mark only
差,"differ",chà,1,1,0,1,mark only
厌,"dislike, detest, reject",yàn,4,1,0,1,mark only
傅,"tutor, teacher",fù,4,1,0,1,mark only
户,"family, household",hù,4,1,0,1,mark only
切,"cut",qiè,4,1,0,1,mark only
妙,"mysterious, subtle",miào,6,1,0,1,mark only
吞,"absorb, annex, engulf",tūn,6,1,0,1,mark only
街,"street",jiē,2,1,0,1,mark only
濑,"swift current",lài,,1,0,1,mark only
币,"currency, coins, legal tender",bì,5,1,0,1,mark only
肘,"elbow",zhǒu,,1,0,1,mark only
纲,"heavy rope, hawser",gāng,5,1,0,1,mark only
影,"shadow",yǐng,1,1,0,1,mark only
慎,"act with care, be cautious",shèn,5,1,0,1,mark only
谔,"honest speech, straightforward",è,,1,0,1,mark only
粹,"pure",cuì,6,1,0,1,mark only
漕,"transport by water",cáo,,1,0,1,mark only
嶂,"cliff",zhàng,,1,0,1,mark only
峒,"mountain in Gansu province",dòng,,1,0,1,mark only
锹,"shovel",qiāo,,1,0,1,mark only
邹,"a Zhou-dynasty state in modern Shandong",zōu,,1,0,1,mark only
琦,"gem, precious stone, jade",qí,,1,0,1,mark only
屯,"village, hamlet",tún,7,1,0,1,mark only
稿,"draft, manuscript, rough copy",gǎo,6,1,0,1,mark only
阡,"footpaths between fields",qiān,,1,0,1,mark only
童,"child, boy, servant boy",tóng,4,1,0,1,mark only
席,"seat",xí,7,1,0,1,mark only
裴,"look of a flowing gown",péi,,1,0,1,mark only
运,"luck, fortune",yùn,5,1,0,1,mark only
瑙,"agate",nǎo,,1,0,1,mark only
屘,"youngest",mǎn,,1,0,1,mark only
馗,"cheekbone",kuí,,1,0,1,mark only
夯,"heavy load, burden",hāng,,1,0,1,mark only
猛,"violent, savage, cruel",měng,6,1,0,1,mark only
硐,"cave",dòng,,1,0,1,mark only
倬,"noticeable, large",zhuō,,1,0,1,mark only
碑,"stone tablet",bēi,7,1,0,1,mark only
秭,"one billion",zǐ,,1,0,1,mark only
迎,"receive, welcome, greet",yíng,5,1,0,1,mark only
嶷,"a range of mountains in Hunan province",yí,,1,0,1,mark only
覃,"reach to, spread to",tán,,1,0,1,mark only
猩,"species of orangutan",xīng,,1,0,1,mark only
涡,"swirl, whirlpool, eddy",wō,,1,0,1,mark only
其,"his, her, its, their",qí,5,1,0,1,mark only
诚,"sincere, honest",chéng,4,1,0,1,mark only
磐,"large rock, boulder",pán,,1,0,1,mark only
篷,"awning, covering",péng,6,1,0,1,mark only
肯,"willing",kěn,6,1,0,1,mark only
幸,"luck , favor, fortunately",xìng,4,1,0,1,mark only
炫,"shine, glitter",xuàn,6,1,0,1,mark only
裘,"fur garments",qiú,,1,0,1,mark only
嵘,"high, steep",róng,,1,0,1,mark only
董,"direct, supervise",dǒng,6,1,0,1,mark only
滚,"turn",gǔn,5,1,0,1,mark only
榨,"squeeze",zhà,7,1,0,1,mark only
淑,"good, pure, virtuous, charming",shū,,1,0,1,mark only
奉,"offer",fèng,6,1,0,1,mark only
绉,"crepe, crape, wrinkles, creases",zhòu,,1,0,1,mark only
晓,"dawn, daybreak",xiǎo,6,1,0,1,mark only
筠,"bamboo skin",yún,,1,0,1,mark only
玲,"tinkling of jade",líng,,1,0,1,mark only
珑,"a gem cut like dragon",lóng,,1,0,1,mark only
解,"loosen, unfasten, untie",jiě,6,1,0,1,mark only
勇,"brave, courageous, fierce",yǒng,4,1,0,1,mark only
旒,"fringes of pearls on crowns",liú,,1,0,1,mark only
妃,"wife, spouse",fēi,,1,0,1,mark only
爸,"father, papa",bà,1,1,0,1,mark only
缵,"continue, carry on, succeed",zuǎn,,1,0,1,mark only
郴,"county in Hunan province",chēn,,1,0,1,mark only
鹂,"Chinese oriole",lí,,1,0,1,mark only
梦,"dream",mèng,4,1,0,1,mark only
谟,"scheme, plan",mó,,1,0,1,mark only
沂,"river in southeast Shandong",yí,,1,0,1,mark only
徐,"slowly, quietly, calmly",xú,,1,0,1,mark only
郑,"state in today's Henan",zhèng,,1,0,1,mark only
获,"obtain, get, receive",huò,4,1,0,1,mark only
樽,"goblet",zūn,,1,0,1,mark only
髻,"hair rolled up in a bun, topknot",jì,,1,0,1,mark only
往,"go, depart",wǎng,2,1,0,1,mark only
将,"will",jiāng,4,1,0,1,mark only
铢,"unit of weight, one twenty-fourth of a Chinese ounce",zhū,,1,0,1,mark only
勋,"meritorious deed",xūn,,1,0,1,mark only
严,"strict, rigorous, rigid",yán,4,1,0,1,mark only
绀,"dark blue or reddish color",gàn,,1,0,1,mark only
激,"arouse, excite, incite",jī,4,1,0,1,mark only
裙,"skirt, apron, petticoat",qún,3,1,0,1,mark only
