gloss,uses,forms,sayable
white (or grey) horse,5308,1,1
"beam, girder, bar, baulk",5294,1,1
) psalm(s)/psalm(s),5281,84,0
knot (nautical unit of speed),5262,4,1
dead,5256,82,1
n.n.; used as a substitute for an unknown name or one that the writer wishes not to reveal.,5248,189,1
short,5246,60,1
temple (for worship),5245,4,1
forest,5238,119,1
"hell, an infernal afterlife",5234,4,1
to lay eggs,5232,58,1
cape,5231,53,1
rust,5231,166,1
"pampa (any of the large, grassy plains of temperate south america)",5212,1,1
"forms place nouns from verbs, indicating the place where an activity occurs",5210,89,1
"plank bed (often used in prisons), bunk",5208,13,1
chin,5207,108,1
"express (mode of transportation, often a train)",5202,2,1
the sole of the foot,5202,16,1
fort,5202,129,1
whey [first attested in the late 15th century.],5198,183,1
mr,5178,92,0
"to stroke, pat, caress",5176,134,1
very,5139,14,1
road,5136,54,1
horse (heroin),5133,15,1
a "yes",5130,64,1
"basin, broad-shaped liquid container",5127,221,1
inhabitant of,5125,98,1
might,5118,91,1
hard,5117,62,1
"flip-flop, thong",5115,41,1
-tion,5115,25,0
"vice (uk), vise (us)",5094,1,1
frankincense,5078,10,0
"bottom, base, foundation",5069,110,1
"hence, from here",5064,24,1
grey hair,5064,279,1
"a male given name, a medieval variant of jacob",5053,132,1
"danger, risk, peril, hazard, jeopardy",5048,226,1
long; having great length:,5042,182,1
"meow, mew, meu, miaow",5042,198,1
"cubit (a unit of linear measure, no longer in use, originally equal to the length of the forearm)",5037,84,1
pi (greek letter),5037,118,1
"meadow, grassland, pasture, prairie",5035,3,1
"recreation, recess (usa)",5022,2,0
cough,5005,105,1
boat,5003,133,1
"corner (inside), angle",4997,5,1
"verbal noun of دَانَ (dāna, "to be religious") (form i)",4997,68,1
great,4997,18,1
"linen, flax",4997,186,1
roses,4994,36,1
the name of the latin script letter p/p.,4991,120,1
"ep, extended play",4978,55,1
mud,4976,61,1
bombasine,4974,2,0
the name of the latin script letter s/s.,4964,109,1
second-person singular voseo present subjunctive of izar,4963,13,1
a kind of plant belonging to the genus ruta; rue.,4954,10,1
"infamy, dishonor, ignominy, shame",4937,91,1
neues testament (nt; new testament),4930,143,1
point (discernable dot against a background of other things),4923,1,1
adjectival suffix,4913,74,1
"a fountain, monumental or small artificial water feature",4911,127,1
xiang language,4910,183,1
"phi; the greek letter φ, φ",4907,37,1
gas tank,4903,65,1
a square (tool used to ensure a right angle),4902,3,1
moon (a natural satellite that is orbiting its corresponding planet),4896,48,1
blue,4895,71,1
"bold, brave, fearless",4894,116,1
line,4891,103,1
"apocopic form of bueno ("good, fine")",4883,16,1
"-ite (used to form names of certain peoples, followers or descendants of a person, etc.)",4868,21,1
three,4863,58,1
"dr., doctor (phd or md)",4841,102,1
serf,4839,9,0
to treat,4837,7,1
front vowel variant of -mus,4822,1,1
unusual and distinctive in an appealing way; featuring an exciting mixture of traits or influences,4821,7,1
"correction fluid, whiteout, tippex",4817,1,1
"disgrace, reproach; act of reproaching",4815,5,1
moon,4809,113,1
"bad, unpleasant",4809,184,1
maternal uncle (one's mother's brother),4800,95,1
peace,4794,71,1
"doe, hind (female deer)",4793,100,1
corner kick,4788,2,1
"dude, guy, buddy",4773,15,1
"passover, pesach",4766,35,0
a roe deer (kind of deer),4757,110,1
dhole (cuon alpinus),4748,23,0
a surname from chinese,4746,173,1
"centre, center",4737,1,1
colour,4732,66,0
"a large flask, flagon, bottle",4729,33,1
"encouragement, assurance",4728,2,1
wall,4727,111,1
harrow,4707,174,0
duck,4705,60,1
"ss, schutzstaffel",4696,121,0
"boisterous, cheeky child",4688,8,1
yew (taxus baccata),4678,83,0
butter,4673,139,1
stone (hard earthen substance that can form large rocks),4669,3,1
pseudo-,4666,191,0
birthmark,4665,62,0
the name of the latin script letter q/q.,4654,186,1
rail,4651,26,1
"dung, manure",4648,134,0
lhd: initialism of porte-hélicoptère amphibie ("amphibious helicopter carrier") (with well deck),4646,32,1
a unisex given name,4636,109,1
carrot,4631,101,1
first/third-person singular preterite indicative of cunnan,4630,80,1
brown,4629,38,1
"e, mi (the third note of the fixed-do solfège scale)",4625,99,1
bar (place where alcoholic beverages are sold),4620,99,1
a male given name borrowed from english,4619,19,1
freud's concept of the ego,4613,111,1
a transliteration of the mandarin surname 胡 (hú),4608,146,1
perfective aspect,4606,59,1
"hope, hopefulness",4598,1,1
hc ("hockey club") abbreviation of hokejový klub (hockey club),4595,132,1
thousand,4593,39,1
"a building for a family to reside in; house, home, abode.",4591,108,1
"bond, coil",4583,14,1
"soft, pliable, flabby, mushy, squishy",4580,74,1
northwest,4550,94,0
eo ("ethylene oxide") abbreviation of oxyde d'éthylène,4549,66,1
to need,4547,26,1
"near, around (compare latin para-)",4535,117,1
silver (metal),4531,28,1
eye dialect spelling of estou,4521,145,1
"a body of water; river, stream.",4516,159,1
height,4509,39,1
"a suffix which indicates masculine (rarely feminine) gender, now predominantly in homemade name forms",4507,121,1
avenue,4498,3,0
"some nouns ending in -an get an -ing or -ning suffix in the plural before the -ar/-arna plural suffix. (note however, that begäran deviates from this pattern.)",4498,44,1
stalemate,4498,84,0
bone,4492,146,1
"designates a feminine, usually abstract noun, from latin or french roots.",4482,165,1
reputation,4480,145,1
reef,4470,8,1
heliport (facility for helicopters),4466,1,1
sole,4463,71,1
vine,4462,23,1
starling,4457,29,0
chon,4450,151,0
additionally,4447,131,0
"cage, cell",4444,52,1
hard drive,4439,224,1
"cat, tomcat",4435,48,1
"lake (large, landlocked stretch of water)",4432,213,1
mission,4420,1,1
pliers,4416,98,0
pale-throated sloth (bradypus tridactylus),4411,143,1
bi-,4408,176,0
axis (imaginary line dividing a space into two symmetrical parts or running through the center of rotating objects),4381,13,1
residence (place where one resides),4380,1,1
tory,4368,16,0
second-person plural subjunctive i of bergen,4364,195,1
a landform with elevation intermediate between that of a hill and that of a small mountain,4358,1,1
the name of the latin script letter y/y.,4354,146,1
horn,4352,54,1
sandwich,4350,146,1
"dreg, sediment, dreck, mud",4344,73,1
the name of the latin script letter h/h.,4344,126,1
neighbor,4343,57,1
most praiseworthy,4333,9,1
a clearing in a forest,4323,12,1
"shut, closed (made inaccessible or impassable; not open)",4322,179,1
"fire (event of something burning, an occurrence of fire)",4321,37,1
person from the region around the jiu river in romania,4320,156,1
"elk, moose (alces alces)",4313,49,1
"a male given name, equivalent to english george",4311,22,1
nine,4309,118,1
"unprepared flax, especially used as a firestarter.",4303,64,1
to die,4300,57,1
valley (depression between hills),4292,37,1
a female fallow deer (mammal of the genus dama),4284,97,1
gate,4283,52,1
cool (not hot or warm),4271,50,1
hr,4263,167,0
"ever-, continual, perpetual",4252,68,1
"sound, audio",4245,7,1
"old, aged (of living things; see also قدیمی (qadimi) for non-living things)",4238,27,1
"washington, washington state (a state in the pacific northwest region of the united states)",4235,2,1
"mung bean, green gram (vigna radiata)",4231,75,1
five,4227,77,1
"colorado (a state in the western united states, the 38th state)",4221,1,1
pear,4210,97,1
money,4208,47,1
to perish,4207,84,1
whale,4206,59,1
rock (the aggregate of solid mineral matter (stone) that constitutes a significant part of the earth's crust),4205,174,1
the name of the latin-script letter ch/ch.,4201,27,1
embankment,4192,20,1
cross,4190,56,1
ferry,4184,30,1
verb suffix for the third-person singular future,4183,9,1
"to flow, to run",4180,24,1
"long (in length, distance, or time)",4177,107,1
many,4166,15,1
cliff,4166,43,1
back part; (with ezâfe) behind,4164,12,1
woman,4164,89,1
"used to create nouns linking a person (or thing) to some group, activity, object; similar to -er, but usually attached to nouns, not verbs.",4160,81,1
a kind of large container to transport (i.e. on camels) oil or vinegar,4157,2,1
dane,4156,59,0
hook,4147,90,1
grave,4133,28,1
"corn, a grain or seed",4133,24,1
top (upper part of something),4129,4,1
"forms agent nouns from other nouns or verbs, usually of romance origin.",4129,32,1
good (of good quality or behaviour),4126,47,1
"sports club, athletic club; abbreviation of idrottsklubb",4121,222,1
"remaining, staying",4116,3,1
"to skin, flay (removing the skin of an animal)",4111,24,1
onto; surjective,4109,72,1
"clarified butter, ghee",4107,10,1
forms diminutive verbs from verbs.,4093,75,1
to make the sound of an elephant,4091,1,1
"newspaper, gazette",4089,2,1
from nouns forms nouns referring to places,4086,203,1
bel (unit of sound intensity),4085,44,1
lion,4082,66,1
van,4081,119,1
"cap, brimless hat",4079,4,1
"a stone, boulder, or pebble:",4079,57,1
bow (weapon),4076,83,1
"talk, conversation",4070,2,1
out of fashion,4069,26,1
shoe,4065,138,1
"a ring (a circular and hollow object, made of any material.)",4052,57,1
"to pour out, shed",4047,1,1
"an outer garment, coat, cloak",4040,22,1
jebel,4032,1,0
hoof,4024,59,1
"groove, slit, slot; rabbet",4023,25,1
yacht,4023,88,0
"badness, evil",4023,125,1
"as, a unit and a roman coin",4016,140,1
saw,4015,35,1
"a brook, stream",4013,1,1
first/third-person singular imperfect subjunctive,4009,149,1
teign (a river in england).,4008,45,1
female equivalent of vilão,4006,8,1
"free, independent, unrestricted:",4005,69,1
the digraph ij,4004,160,1
"camelthorn, manna tree, alhagi gen. et spp.",4000,27,1
"to dig, to excavate",4000,106,1
narrow path or way,3997,1,1
"name of the cyrillic letter ц, ц, called цэ (cɛ) in modern russian.",3993,70,1
"ray, beam (of light etc.)",3987,64,1
forms the second-person plural indicative and imperative of several verb conjugations,3987,22,1
verbal noun of هَمَّ (hamma) (form i),3967,33,1
ornament,3966,54,1
short for operation,3965,94,1
"livestock, cattle",3962,65,1
"to shock, feel shocked",3957,37,1
bear,3955,100,1
wolf,3949,42,1
vibration,3947,12,1
cat (feline),3946,55,1
middle polish form of inny,3939,16,1
a female given name from latin,3939,8,1
someone from the mark region (northern sachsen-anhalt and northern brandenburg),3931,1,1
protection,3931,5,1
past-tense and past-participle suffix (homonymous form in the vast majority of verbs):,3930,19,1
"ass, donkey",3926,138,1
"sign, symbol",3923,192,1
hay,3922,170,1
masala chai (a tea drink),3918,43,1
"in, popular (in fashion)",3917,82,1
such,3916,47,1
king,3914,48,1
male,3912,17,1
"founder, instituter",3902,44,0
"poppy, poppyseed",3901,70,1
james the greater or james the less (apostles),3895,3,1
"name of the 23rd letter of the arabic alphabet (ل (l)), representing the sound /l/.",3888,38,1
bald; hairless,3887,1,0
turkey oak (quercus cerris),3886,26,1
": underpants, panties (of men or women)",3884,21,1
"a male given name, equivalent to english paul",3880,3,1
easy,3875,96,1
musk,3874,14,0
paradise,3873,37,1
"a shoot, branch",3869,6,1
liana,3868,123,0
creates a verbal noun from an adjectival root,3865,104,1
the surface of an aa lava flow,3864,84,1
bottom,3859,77,1
forms diminutive nouns.,3854,155,1
beloved; lover,3853,39,0
ambulance (emergency vehicle),3852,4,1
station,3850,2,1
section,3850,3,1
laurel,3847,23,1
colloquial form of dul (as a verbal noun only),3845,22,1
present stem of گفتن (goftan),3844,113,1
phi (greek letter),3843,89,1
ngo (non-governmental organisation),3831,70,1
nw; abbreviation of nord-ouest,3828,139,1
magpie,3824,67,1
huge rock; large rock mass,3824,146,1
ney (a type of flute),3823,51,1
shoulder,3822,28,1
flow,3818,57,1
"taste, flavor",3815,147,1
old (having existed for a long time),3814,2,1
to suck,3809,13,1
"rounded, curvy; lacking angles:",3797,9,1
"quiet, rest, calm",3794,52,1
mixed mutation of ger,3778,56,1
"ordbog over det danske sprog, a dictionary",3777,13,1
solfège syllable formerly used to represent b flat,3775,147,1
auberge de jeunesse,3771,156,0
loss,3766,74,1
cotton blend (a blend of cotton with other fibers),3764,10,1
"bi, bisexual person",3764,139,1
"bog, swamp, marsh, quagmire, mire",3757,2,1
mission (set of tasks),3755,1,1
weak,3754,87,1
old hijazi form of شَأْن (šaʔn),3752,134,1
ford (crossing),3751,90,1
"bundle of things, especially one containing clothes",3749,2,1
"louse, used of various insects commonly considered pests",3739,2,1
msm; men who have sex with men.,3737,29,1
gas (matter in a physical state between liquid and plasma),3734,29,1
a type of treeless wet swamp.,3730,166,1
"wide, broad, extensive",3729,14,1
"their (third-person plural, single possession)",3729,103,1
filter-avoidance spelling of cu,3725,127,1
pisces (constellation),3723,3,1
eu (european union),3712,75,1
net curtain,3711,5,1
not,3708,107,1
lemon,3706,16,1
"pink (having a color between red and white, sometimes with a hint of beige, as in the skin color of white people)",3703,168,1
"which, what",3700,110,1
"ngo, non-governmental organization",3700,126,1
load,3698,38,1
rabid,3696,97,0
beet (beta vulgaris),3690,18,1
direction,3690,54,1
a user account belonging to instagram.,3688,96,1
bier,3687,26,0
needle,3682,42,1
out,3681,62,1
the name of the letter n.,3681,117,1
super-,3675,3,0
assembly language (programming language using mnemonics that correspond to processor instructions),3669,1,1
a product obtained from milk; whey [first attested in the early 14th century.],3667,147,1
skirt (garment),3665,54,1
seat,3649,38,1
calva; calvados,3646,2,0
"esker (a long, narrow, sinuous ridge created by deposits from a stream running beneath a glacier)",3644,113,1
