fiqk,,even (though),,,,,
vast,,vast,,,विपुल,sanskrit,
valv,,evolve,,,,english,
vark,,syllable,,havara,הֲבָרָה,hebrew,
varz,,forest,,ya'ar,יַעַר,hebrew,
volt,,volt,,,,,
vord,,avoid,,,,english,
vorb,,ever,,,,,
vork,,electron,,,,,
vorx,,vowel o sound,,,,,
vutx,,entity,,,,,
vust,,v sound,,,,,
vurf,,verify,,,,english,
vlam,,its,,,,,
vrib,,vibrate,,,,,
vriC,,wood,,,viður,icelandic,
vraj,,average,,,,english,
vros,,voice,,,,english,
vrun,,ocean,,varuna,वरुण,sanskrit,
vrug,,10^18,,,,,
vuq,,data,,,,,
zist,,resist,,,,english,
zeqk,,hand,,,,,
zetx,,1000,,,,,
zalb,,fermion,,,,,
zalx,,toe,,,,,
zarn,,alien,,xeno,,latin,
zart,,lizard,,,,english,
zom,,zone,,,,,
zolt,,column,,,,,
zorn,,ear,,,,,
zord,,exit,,,,,
zuqk,,z sound,,,,,
jalf,,j sound,,,,,
ximp,,shrimp (fish),,ebi,海老,japanese,
xift,,shift,,,,english,
xild,,shield,,,,english,
xant,,ancient,,,,,
xask,,ask,,,,english,
xalt,,shout,,,,english,
xarm,,10^21,,,,,
xarp,,x sound,,,,,
xarz,,opposite (anti),,,,,
xort,,sure,,,,english,
xux,,change,,,,,
xlav,,calculate,,leHax(e)v,לְחַשֵּׁב,hebrew,
xlik,,shriek,,,,english,
xlum,,mushroom,,,,english,
ciqk,,think,,,,english,
cets,,mole (measurement),,,,,
cutx,,tooth,,,,,
carn,,ion,,,,english,
corn,,british o vowel sound,,,,,
corb,,distance (tele-),,,,,
crit,,threat,,,,,
crab,,death,,,,,
crak,,10^33,,,,,
cral,,hill,,,,,
cron,,south,,,,,
crop,,c sound,,,,,
cros,,art,,,,,
crum,,through/tunnel,,,,english,
crug,,amphibian,,,,,
crut,,puzzle,,,þraut,icelandic,
Carv,,forever,,,,,
Cork,,large C sound,,,,,
yild,,vowel large I sound,,,,,
yadj,,away,,yuǎn,遠,chinese,
yarn,,y sound,,,,,
yard,,yard (measurement),,,,english,
yorn,,yearn,,,,english,
york,,10^2,,,,,
yust,,used to,,,,,
widj,,10^45,,,,,
widc,,width,,,,,
witx,,w sound,,,,,
wird,,weird,,,,,
wend,,wind (air),,,,english,
wetx,,which,,,,english,
wand,,wind (coil),,,,,
want,,want,,,,english,
watx,,watch,,,,english,
wald,,wild,,,,,
warp,,vowel large A sound,,,,,
wark,,work,,,,english,
warx,,worship,,,,english,
wold,,world,,,,,
wolf,,wolf,,,,english,
worm,,warm,,,,english,
wups,,whoops,,,,english,
wurm,,worm,,,,english,
list,,list,,,,english,
lird,,wet,,,,,
lirk,,ratio,,,,,
legz,,leg,,leg,,english,
ledj,,theory,,,,,
land,,land,,,,english,
laqk,,wool,,lana,,spanish,
ladj,,l sound,,,,,
laks,,lack,,,,english,
lasp,,wing,,,,,
last,,last,,,,english,
larm,,limb,,,,english,
larp,,lepton,,,,,
lart,,let,,,,,
larx,,10^12,,,,,
lorn,,line,,,,,
lorg,,log (diary),,yoman,יוֹמָן,hebrew,
lors,,loss,,,,english,
lust,,back (front),,,,,
lurv,,leave,,,,english,
riqk,,rhyme,,,,english,
ritx,,ring (math),,,,english,
risk,,risk,,,,english,
rend,,french r sound,,,,,
rusk,,vowel english r sound,,,,,
retx,,rate (change),,rate,,english,
ramp,,r sound,,,,,
ratx,,vowel a sound,,,,,
rask,,reminiscent of (-esque),,,,,
raft,,raft,,,,english,
vat,,body,,,,,
rond,,gnaw,,,rodere,latin,
rost,,past (distance),,,,english,
rups,,10^39,,,,,
rutz,,race (event),,merutza,מְרוּצָה,hebrew,
mants,,monster,,,,english,
marst,,must,,,,english,
nardj,,farenheit,,,,english,
gland,,gland,,,,english,
graft,,graft,,,,english,
grund,,ground,,,,,
dendj,,danger,,,,,
dents,,dense,,,,english,
dants,,dance,,,,,
djist,,gist,,,,english,
djamp,,jump,,,,,
djaqk,,junk,,,,,
djadj,,judge,,,,english,
djast,,gesture,,,,,
djont,,joint,,,,english,
driqk,,drink,,,,english,
drast,,dress (put on clothes),,,,english,
drask,,heavy,,,,,
draft,,draft (version),,,,english,
baltx,,belch,,,,,
bardj,,barge,,,,english,
barst,,burst,,,,english,
bliqk,,blink,,,,english,
bland,,blend,,,,english,
blast,,blast,,,,english,
blort,,blurt,,,,english,
bridj,,bridge,,,,,
britx,,breach,,,,english,
bradz,,brass,,,,english,
bralt,,brittle,,,,english,
partx,,land (perch),,,,,
ponts,,pounce,,,,english,
plamp,,plump,,,,english,
plant,,plant,,,,english,
plar,,play,,,,,
print,,print,,,,english,
prent,,apparent,,,,,
promz,,pass,,,,,
tints,,tense,,,,,
txant,,chant,,,,,
txarm,,item,,,,,
txart,,chart,,,,english,
tranz,,transform,,,,english,
tradj,,trudge,,,,english,
trast,,trust,,,,,
kantx,,crunch,,,,,
kardj,,cartilage,,,,,
koltx,,ouch,,,,,
klamp,,clamp,,,,english,
klanz,,cleanse,,,,english,
klasp,,clasp,,,,english,
klutz,,pioneer,,chalutz,חָלוּץ,hebrew,
krist,,anoint,,,,,
kramp,,cramp,,,,english,
krolb,,unobstruct,,,,,
hintx,,inch (measurement),,,,english,
harnz,,harness,,,,,
marz,,understand,,,,,
hartx,,arch,,,,,
honts,,ounce,,,,english,
sindj,,singe,,,,english,
sants,,since,,,,english,
sortx,,search,,,,,
smilt,,mile,,,,english,
smadj,,smudge,,,,english,
smart,,smart,,,,english,
smark,,smirk,,,,english,
snarl,,snarl,,,,english,
snort,,snort,,,,,
spark,,spark,,,,,
spurm,,sperm,,,,english,
split,,split,,,,english,
splasiq,,splice,,,,,
splax,,splash,,,,,
spriq,,spring (tool),,,,english,
spriz,,react,,,,,
spred,,spread,,,,english,
sprat,,sprout,,,,,
spral,,spiral,,,,english,
stiqk,,stink,,,,english,
stand,,stand,,,,english,
starv,,starve,,,,english,
stomp,,stomp,,,,,
storm,,storm,,,,english,
stork,,story,,,,english,
striq,,string,,,,english,
strip,,stripe,,,,english,
streq,,stray,,,,english,
straq,,strong,,,,english,
strap,,strap,,,,englishenglish,
strat,,strict,,,,english,
fruk,,structure,,,,english,
strol,,stroll,,,,english,
strup,,strip,,,,english,
struk,,strike,,,,english,
skint,,squint,,,,english,
skitx,,switch,,,,english,
skers,,scarce,,,,,
skamp,,swamp,,,,english,
skalp,,sculpt,,,,english,
skalk,,skulk,,,,english,
skorn,,scorn,,,,english,
skrin,,screen (display),,,,english,
skrep,,scrape,,,,english,
skrap,,scrap,,,,,
skral,,scrawl,,,,english,
skrol,,scroll,,,,,
sarl,,swirl,,,,english,
slind,,cylinder,,,,english,
slamd,,salamander,,,,english,
slant,,slant,,,,,
slotx,,slouch,,,,english,
slorm,,swarm,,,,english,
slorp,,slurp,,,,,
slet,,slight,,,,,
srand,,surround,,,,,
fordj,,flow (speech utterance),,,,,
flant,,flaunt,,,,english,
flart,,fart,,,,,
fretx,,foot (measurement),,,,english,
viltz,,violent,,,,,
vlark,,vomit,,,,english,
vritx,,spider,,,,,
vrant,,vibrant,,,,english,
vruft,,bracket,,,,,
craks,,thorax,,,,english,
wartx,,watt (measurement),,,,english,
larnd,,learn,,,,english,
lardj,,large,,,,english,
lorst,,lust,,,,,
rints,,rinse,,,,,
rantx,,rain,,,,,
pat,,dimension,,,,,
miniq,,mean (verb),,,,english,
minet,,internet,,,,,
minan,,offering,,mincha,מִנְחָה,hebrew,
minag,,custom/traditional practice,,minhág,מִנְהָג,hebrew,
minor,,lamp,,menora,מְנוֹרָה,hebrew,
minuk,,serenity,,menucha,מְנוּחָה,hebrew,
sit,,medium,,,,,
med,,meditate,,,,,
midar,,myriad,,,,,
midur,,compartment,,midur,מִידּוּר,hebrew,
miput,,minority,,mi'ut,מִעוּט,hebrew,
mit,,meet,,,,english,
mitax,,meat,,,,english,
mikil,,burrow,,mechila,מְחִילָּה,hebrew,
mikas,,metric,,miqyās,مِقْياس,arabic,
mikar,,survey,,mechkar,מֶחְקָר,hebrew,
misat,,protest,,mecha'a,מְחָאָה,hebrew,
misal,,missile,,,,,
misar,,excavate,,michre,מִכְרֶה,hebrew,
misok,,erase,,limH(o)k,לִמְחוֹק,hebrew,
mizam,,initiative,,mezam,מֵיזָם,hebrew,
mixuk,,secretary,,mì shū,秘书,chinese,
micad,,method,,,,,
micak,,myth,,,,english,
miCim,,ticket,,,miði,icelandic,
milit,,filling,,m'lít,מְלִית,hebrew,
milan,,mill,,,,,
milat,,cement,,melet,מֶלֶט,hebrew,
miren,,glamorous,,mí rén,迷人,chinese,
mirad,,revolt,,mered,מֶרֶד,hebrew,
mirak,,miracle,,,,,
miraj,,mirage,,,,english,
memik,,maim,,,,english,
memac,,mammoth,,,,english,
memon,,memo,,,,,
menat,,mane,,,,english,
menak,,money,,,,english,
menas,,menace,,,,english,
meduz,,jellyfish,,meduza,מֶדוּזָה,hebrew,
mepal,,maple,,,,english,
metik,,media,,méitǐ,媒体,chinese,
metan,,thing about the thing (meta-),,,,,
metak,,tension,,metach,מֶתַח,hebrew,
metar,,chord (math),,metar,מיתר,hebrew,
mekir,,err,,,,english,
mesid,,stumble,,me'ida,מְעִידָה,hebrew,
meset,,emaciate,,,,,
mezan,,maze,,,,,
melon,,melon (vegetable),,,,english,
mamig,,mummy,,,,,
mamip,,mime,,,,,
mamat,,debate,,ma'amat,מַעֲמָת,hebrew,
mamar,,sorrow,,memer,מֶמֶר,hebrew,
mamun,,numb,,má mù,麻木,chinese,
manil,,man,,,,,
manan,,dose,,leman(e)n,לְמַנֵּן,hebrew,
manat,,ponder,,,मन्यते,sanskrit,
manok,,motor,,mano'a,מָנוֹעַ,hebrew,
manol,,roam,,manyou,漫游,chinese,
manun,,passion,,,मन्यु,sanskrit,
manut,,occuptation,,umanut,אוּמָּנוּת,hebrew,
manuC,,humanity,,,mannúð,icelandic,
magef,,epidemic,,magefa,מַגֵּיפָה,hebrew,
mager,,overthrow,,lemag(e)R,לְמַגֵּר,hebrew,
magan,,dock,,ma'agán,מַעֲגָן,hebrew,
mag,,contact,,maga,מַגָּע,hebrew,
magat,,maggot,,,,english,
magaf,,boot (shoe),,magaf,מַגָּף,hebrew,
magax,,tray,,magash,מַגָּשׁ,hebrew,
magop,,mug (rob),,,,english,
magur,,tuna,,maguro,鮪,japanese,
madim,,uniform (clothing),,madim,מַדִּים,hebrew,
yorm,,uniform (consistent),,,,,
madil,,armadillo,,,,english,
madam,,intoxicate,,mádya,मद्य,sanskrit,
madat,,revel,,,माद्यति,sanskrit,
madaf,,shelf,,madaf,מַדָּף,hebrew,
madol,,muddle,,,,,
mabac,,mob,,,,,
mapon,,habitat,,ma'on,מָעוֹן,hebrew,
matag,,brand (business),,lemat(e)g,לְמַתֵּג,hebrew,
matar,,shower (water),,matar,מָטָר,hebrew,
matod,,nematoda,,,,,
mator,,mutter,,,,english,
makaz,,muck,,,,,
makov,,grief,,makh'óv,מַכְאוֹב,hebrew,
masib,,party,,mesibah,מְסִבָּה,hebrew,
masaj,,message,,,,english,
masoz,,territory,,machoz,מָחוֹז,hebrew,
masol,,mussel,,,,english,
masor,,saw (tool),,masor,מַסּוֹר,hebrew,
masut,,character (nature),,mahut,מַהוּת,hebrew,
masuk,,slop,,mahu,马虎,chinese,
masul,,track (path),,maslul,מַסְלוּל,hebrew,
mavat,,die,,mávet,מָוֶת,hebrew,
mavon,,introduction,,mavo,מָבוֹא,hebrew,
mavok,,maze/labyrinth,,mavókh,מָבוֹךְ,hebrew,
mazal,,luck,,mazal,מַזָּל,hebrew,
majur,,measure,,,,,
maxin,,machine,,,,english,
maxot,,oar (boat),,jìxù,מְשׁוֹט,mashowt,
maxov,,feedback,,mashov,מָשׁוֹב,hebrew,
mac,,great,,mahat,महत्,sanskrit,
mab,,mother,,,,,
malin,,filth,,malina,मलिन,sanskrit,
maliz,,sermon,,mawʿiẓa,مَوْعِظَة,arabic,
malek,,king,,melech,מֶלֶךְ,hebrew,
malor,,maul,,,,,
malum,,special,,maalum,,swahili,
marid,,sick,,marīḍ,مَرِيض,arabic,
maric,,marry,,,,,
marad,,nurse,,maraḍ,مَرَّضَ,arabic,
marak,,soup,,marak,מָרָק,hebrew,
marun,,maroon,,,,english,
maruf,,decend,,maʿrūf,مَعْرُوف,arabic,
moniq,,moan,,,,,
monik,,impersonate,,moni,模拟,chinese,
moniz,,mow (grass),,,,,
model,,mode,,,,,
medj,,model,,,,english,
mobal,,mobile,,,,english,
motiv,,motive,,,,english,
mosad,,institution,,mosad,מוֹסָד,hebrew,
mosok,,fumble,,mō suǒ,摸索,chinese,
mosun,,blur,,móhú,模糊,chinese,
mosut,,vague,,mó hu,模糊,chinese,
mosul,,misty,,mó hu,模糊,chinese,
mofan,,exemplary,,mó fàn,模范,chinese,
mozuk,,fuzzy,,mohu,模糊,chinese,
mojan,,artifact (museum object),,,,,
moxiq,,matrix (math),,móxíng,模型,chinese,
moxan,,motion,,,,,
moxal,,the model of the action (e.g. the transform),,,,,
molik,,conduct (electricity),,molich,מוֹלִיךְ,hebrew,
moleq,,mole,,,,english,
mumiq,,moo,,,,,
muqam,,mmm,,,,english,
mudan,,mood,,,,english,
zind,,transcend,,,,english,
mutan,,mute,,,,english,
mutag,,brand (name),,mutag,מוּתָג,hebrew,
muton,,moot,,,,,
mukim,,reside,,muqīm,مقيم,arabic,
mukan,,dumb,,,मूक,sanskrit,
musit,,overall,,muḥīṭ,مُحِيط,arabic,
musaq,,aardvark,,muhanga,,swahili,
musag,,concept,,musag,מוּשָּׂג,hebrew,
musar,,ethic,,musar,מוּסָר,hebrew,
mufol,,muffle,,,,,
muvun,,move on,,,,,
muzik,,music,,,,english,
mazic,,muze,,,,,
muxit,,mush,,,,,
muxak,,prolonged,,m'mushákh,מְמֻשָּׁךְ,hebrew,
murib,,suspicious,,murīb,مريب,arabic,
nimuk,,justification,,nimuk,נִימּוּק,hebrew,
nagak,,goad,,niguach,נִיגּוּחַ,hebrew,
nagon,,melody,,nigún,נִגּוּן,hebrew,
nagud,,contrast,,nigud,נִגּוּד,hebrew,
nadar,,cnidaria,,,,english,
nidol,,needle,,,,english,
nitak,,chunk,,netach,נֶתַח,hebrew,
nituk,,severing,,nituk,נִיתּוּק,hebrew,
nekam,,revenge,,nekama,נְקָמָה,hebrew,
nukan,,nick,,,,,
nisig,,recession,,nesiygah,נְסִיגָה,hebrew,
nisan,,necessary,,,,,
nivim,,prophecy,,n'vi'ím,נְבִיאִים,hebrew,
nival,,harp,,nevel,נֶבֶל,hebrew,
nizak,,damage,,nezek,נֶזֶק,hebrew,
nijak,,specific,,,,,
nixin,,herring (fish),,nishin,ニシン,japanese,
nilet,,annihilate,,,,english,
nilam,,restraint,,niyamá,नियम,sanskrit,
nilod,,neon,,,,,
negif,,virus,,negif,נְגִיף,hebrew,
negek,,cabinet,,nèi gé,内阁,chinese,
negox,,negotiate,,,,english,
nedir,,vow,,neder,נֶדֶר,hebrew,
nebul,,nebula,,,,,
nekad,,naked,,,,,
nekud,,dot,,nekuda,נְקוּדָּה,hebrew,
nesan,,connotation,,neihan,内涵,chinese,
nesag,,steer,,nehag,נֶהָג,hebrew,
nesal,,nestle,,,,english,
nefil,,tumble,,nefila,נְפִילָה,hebrew,
neliq,,neigh,,,,,
nelar,,document,,neyar,נְייָר,hebrew,
nerit,,narrate,,,,,
nerog,,narrow,,,,,
namal,,port,,namel,נָמֵל,hebrew,
nagin,,eel,,unagi,うなぎ,japanese,
nadiv,,generous,,nadív,נָדִיב,hebrew,
nadad,,wander,,nadád,נָדַד,hebrew,
nadak,,nod,,,,,
nadot,,banish,,lenad(o)t,לְנַדּוֹת,hebrew,
naban,,nub,,,,,
nabog,,genius,,nabogh,نَبُوْغ,arabic,
napek,,inflate,,lenap(e)aH,לְנַפֵּחַ,hebrew,
napar,,nap,,,,,
napot,,sift,,lenap(o)t,לְנַפּוֹת,hebrew,
natim,,parallax,,,नति,sanskrit,
natiq,,knight,,,,english,
natir,,monitor,,lenat(e)R,לְנַטֵּר,hebrew,
natan,,gnat,,,,,
nakik,,crevice,,nakik,נָקִיק,hebrew,
naker,,peck,,lenak(e)R,לְנַקֵּר,hebrew,
nakal,,palm tree,,naḵal,نَخْل,arabic,
nakul,,cervidae,,nakjuliit,ᓇᒃᔪᓖᑦ,inuktitut,
nasig,,retreat,,nesiga,נְסִיגָה,hebrew,
nasir,,ally,,naṣīr,نَصِير,arabic,
nasot,,attempt,,lenas(o)t,לְנַסּוֹת,hebrew,
nafak,,capacity,,nefach,נֶפַח,hebrew,
navuk,,prophesy,,nevu'a,נְבוּאָה,hebrew,
najat,,nauseate,,,,,
naxaf,,breeze,,nâshaph,נָשַׁף,hebrew,
nalik,,console (help),,anwei,安慰,chinese,
narol,,cream,,nǎi yóu,奶油,chinese,
nogun,,representation,,,,,
notis,,notice,,,,english,
notet,,annotate,,,,english,
novak,,realize,,nókhakh,נוׄכַח,hebrew,
nosep,,passenger,,nose'a,נוֹסֵעַ,hebrew,
nosal,,proceed,,nohal,נוֹהַל,hebrew,
noval,,novel,,,,english,
nunan,,none,,,,english,
nubol,,nibble,,,,,
nutan,,newton (force),,,,english,
nukis,,nut,,,,latin,
nuzol,,nuzzle,,,,,
nuzul,,lodge,,nuzul,نُزُل ,arabic,
nulip,,effort,,nuli,努力,chinese,
nulik,,torque,,niuli,扭力,chinese,
nulun,,fallacy,,niulun,谬论,chinese,
ginab,,grape,,ʿinab,عِنَب,arabic,
gigeq,,specify,,guīgé,规格,chinese,
gigol,,giggle,,,,english,
gigul,,metamorphosis,,gilgul,גִּילְגּוּל,hebrew,
gidak,,guide,,,,english,
gibor,,hero,,gibor,גִּיבּוֹר,hebrew,
gibux,,consolidate,,gibush,גִּיבּוּשׁ,hebrew,
giluk,,chub,,guī yú,鲑鱼,chinese,
gilus,,recruitment,,giyus,גִּיּוּס,hebrew,
girar,,gear (wear),,,,,
gepar,,scold,,ge'ara,גְּעָרָה,hebrew,
getiq,,gait,,,,,
gevin,,cheese,,geviynah,גְּבִינָה,hebrew,
gezit,,gaze,,,,,
gexiq,,personality,,gexing,个性,chinese,
geliq,,seclude,,geli,隔离,chinese,
geren,,personal,,gè rén,个人,chinese,
gamal,,camel,,gamál,גָּמָל,hebrew,
gamor,,gum,,,,english,
ganis,,gneiss,,,,,
ganan,,reckon,,,गणन,sanskrit,
ganav,,steal,,ganáv,גָּנַב,hebrew,
ganol,,gown,,,,,
gagen,,reform,,gǎigé,改革,chinese,
gagor,,gag,,,,,
gadas,,lentil,,ʿadas,عَدَس,arabic,
gadar,,fence,,gader,גָּדֵר,hebrew,
gabil,,knead,,legab(e)l,לְגַבֵּל,hebrew,
gaboq,,gob,,,,,
gabol,,gobble,,,,,
gapif,,cuddle,,legap(e)f,לְגַפֵּף,hebrew,
gator,,gutter,,,,english,
gasav,,pride,,ga'ava,גַּאֲווָה,hebrew,
gasut,,discourtesy,,gasut,גַּסּוּת,hebrew,
gavan,,diverse,,legav(e)n,לְגַווֵּן,hebrew,
gavur,,chicken,,gever,גֶּבֶר,hebrew,
gazol,,guzzle,,,,,
gazor,,geyser,,,,english,
gaxek,,gash,,,,,
gaxax,,scout,,gashash,גַּשָּׁשׁ,hebrew,
gaxal,,efficient,,gaoxiao,高效,chinese,
gaxox,,probe,,gashosh,גָּשׁוֹשׁ,hebrew,
gacar,,affect,,ʔaṯṯar,أثّر,arabic,
gaCim,,magnificent,,ʿaẓīm,عَظِيم,arabic,
gaCat,,nutrition,,ḡaḏḏā,غَذَّى,arabic,
gaCor,,gather,,,,english,
galim,,embody,,legal(e)m,לְגַלֵּם,hebrew,
galaq,,utmost,,ghayah,غَايَة,arabic,
galap,,gallop,,,,english,
galat,,recite,,gā́yati,गायति,sanskrit,
garid,,scratch,,legaR(e)d,לְגָרֵד,hebrew,
garam,,cost,,gharama,,swahili,
garaz,,lubricate,,legaR(e)z,לְגָרֵז,hebrew,
garon,,deficit,,gera'on,גֵּירָעוֹן,hebrew,
garot,,provoke,,legaR(o)t,לְגָרוֹת,hebrew,
garos,,gregarious,,gregarious,,english,
garur,,delusion,,ḡurūr,غُرُور,arabic,
goqik,,craft,,gōng yì,工艺,chinese,
goqep,,industry,,gōngyè,工业,chinese,
goquk,,apartment,,gōng yù,公寓,chinese,
gokam,,factor,,goQem,גּוֹרֵם,hebrew,
govak,,height,,góvah,גֹּבַהּ,hebrew,
govun,,govern,,,,english,
gojam,,parrot,,goja,,french,
golar,,abroad,,guó wài,国外,chinese,
gorik,,gore,,,,,
gorem,,factor (math),,gorem,גורם,hebrew,
goral,,destiny,,goral,גּוֹרָל,hebrew,
gunam,,quality,,guṇa,गुण,sanskrit,
gugal,,outlandish,,gǔ guài,古怪,chinese,
gudal,,thumb,,agudal,אֲגוּדָל,hebrew,
gudoq,,agitate,,gǔ dòng,鼓动,chinese,
gudut,,solitude,,gudu,孤独,chinese,
guput,,quaint,,gǔ pǔ,古朴,chinese,
gutik,,pill,,guṭikā,गुटिका,sanskrit,
gusul,,bath,,ġusl,غسل,arabic,
gufap,,goof,,,,,
guvul,,border,,gvul,גְּבוּל,hebrew,
guxik,,scam,,gùshì,故事,chinese,
gulon,,bewitched,,gǔ huò,蛊惑,chinese,
dimon,,imagination,,dimyon,דִמיוֹן,hebrew,
dimot,,demote,,,,,
dimut,,figure,,demut,דְּמוּת,hebrew,
diqk,,deny,,,,,
digor,,dig,,,,english,
didak,,tick tock,,dí dā,嘀嗒,chinese,
diduk,,deduct,,,,english,
didus,,deduce,,,,english,
diban,,slander,,diba,דִּיבָּה,hebrew,
dipak,,kindle,,dīpaka,दीपक,sanskrit,
diten,,detain,,,,,
diken,,decay,,decay,,english,
dikam,,predicament,,,,,
dikod,,decode,,,,,
dikos,,cram,,lidH(o)s,לִדְחוֹס,hebrew,
dikur,,remembrance,,dhikr,ذِكْر,arabic,
disard,,dissuade,,,,,
diseC,,diss,,,,,
disab,,disable,,,,,
disap,,disciple,,,,,
disaf,,decipher,,,,,
difen,,deify,,,,,
difak,,defy,,,,,
difor,,defer,,,,,
difur,,differ,,,,,
divan,,echo,,,ध्वनि,sanskrit,
divak,,glue,,devek,דֶּבֶק,hebrew,
divaz,,devise,,,,english,
divar,,devour,,,,,
divot,,devote,,,,english,
dizar,,desire,,,,english,
dijor,,relative,,,,,
dixaq,,boy/girl friend,,duìxiàng,对象,chinese,
dilem,,dilemma,,,,english,
dilen,,delay,,,,english,
dilan,,dill,,,,,
dilun,,discuss,,diyun,דִיוּן,hebrew,
dilud,,delude,,,,,
dilut,,illuminate,,dyut,द्युत्,sanskrit,
dilur,,accommodate,,diyur,דִּיּוּר,hebrew,
direk,,directory,,,,,
dirad,,deride,,,,english,
dirat,,direct,,,,,
dirak,,direct (focus),,,,english,
denim,,responsible,,,दायिनी,sanskrit,
debol,,dabble,,,,,
debor,,dab,,,,english,
dekel,,palm,,dekel,דֶּקֶל,hebrew,
devan,,hobby,,devanā,देवना,sanskrit,
deziq,,daze,,,,english,
damap,,dam,,,,,
danin,,donation,,dānin,दानिन्,sanskrit,
daniq,,dine,,,,,
danam,,dawn,,,,,
dagim,,sample,,dgima,דְּגִימָה,hebrew,
dagix,,emphasis,,dagesh,דָּגֵשׁ,hebrew,
dagon,,dog,,,,english,
dadan,,bold,,dà dǎn,大胆,chinese,
dadol,,avenue,,dà dào,大道,chinese,
dabiv,,dub,,ledab(e)v,לְדַבֵּב,hebrew,
dapok,,shiver,,dǎpò,打破,chinese,
dakan,,duck (below),,,,,
dasik,,dice,,,,english,
dasak,,stress,,dachak,דַּחַק,hebrew,
dasuk,,skid,,dahua,打滑,chinese,
dafuz,,diffuse,,,,,
dav,,divine,,,,,
daziz,,disease,,,,english,
daxin,,fertilize,,ledax(e)n,לְדַשֵּׁן,hebrew,
daxen,,university,,dàxué,大学,chinese,
dalin,,dally,,,,english,
dalik,,approximate,,dàyuē,大约,chinese,
dalif,,leak,,dlifa,דְּלִיפָה,hebrew,
dalet,,dilate,,,,,
dalam,,pity,,,दया,sanskrit,
dalag,,dialogue,,,,,
dalap,,weapon,,dalapḥ,दलपः,sanskrit,
dalat,,suck,,,धयति,sanskrit,
dalak,,grate,,dhayaqa,ضَايَقَ,arabic,
kontrib,,contribute,,,,english,
dalun,,road,,dàolù,道路,chinese,
dalut,,dilute,,,,english,
daluc,,cuckold,,dayyūṯ,دَيُّوث,arabic,
dareC,,dash,,,,,
darat,,mote,,ḏarra,ذَرَّة,arabic,
darut,,dire,,,,,
donet,,donate,,,,,
doqak,,animate,,dòng huà,动画,chinese,
dopan,,dope,,,,,
dotiq,,doting,,,,english,
dotan,,dote,,,,,
dokan,,portrait,,dyokan,דְּיוֹקָן,hebrew,
doven,,dove (bird),,,,english,
dozaf,,doze,,,,,
dojam,,marijuana,,,,,
doxan,,fertile,,doshen,דּוֹשֶׁן,hebrew,
doles,,adolescent,,,,english,
doriq,,during,,,,,
dumun,,doom,,,,,
dupik,,dupe,,,,,
dukan,,suffer,,,,,
duxiq,,inert,,duoxing,惰性,chinese,
duliv,,dew,,,,,
duliz,,duly,,,,,
blim,,beam,,,,english,
bimon,,bemoan,,,,english,
binit,,bean,,,,,
binan,,benign,,,,english,
binat,,violate,,,भिनत्ति,sanskrit,
bidat,,stoke,,bedāa,بضاعة,arabic,
bidaz,,bedazzle,,,,english,
bidal,,beetle,,,,english,
bidon,,fiction,,bidyon,בִּדְיוֹן,hebrew,
bibun,,bib,,,,,
bitan,,beet,,,,,
bitor,,bitter,,,,english,
bituk,,accent,,bitúi,בִּטּוּי,hebrew,
bikic,,bequeath,,,,english,
bikam,,become,,,,english,
bikar,,bicker,,,,,
biset,,beset,,,,,
bisal,,match (competition),,bǐsài,比赛,chinese,
bizar,,bizarre,,,,english,
bicuv,,behoove,,,,english,
bilam,,brake,,belem,בֶּלֶם,hebrew,
bilat,,ability,,,,,
bilar,,beware,,,,,
bilon,,bill (money),,,,,
biloq,,billow,,,,english,
biriv,,bereave,,,,,
biret,,berate,,,,english,
biran,,inevitable,,bì rán,必然,chinese,
birur,,inquiry,,berur,בֵּירוּר,hebrew,
begin,,begin,,,,,
began,,pessimistic,,bēi guān,悲观,chinese,
bedoq,,wiggle,,bǎi dòng,摆动,chinese,
bedul,,battle,,,,,
beben,,babe,,,,,
betan,,bat (hit with stick),,,,,
betor,,bet,,,,,
bekin,,bake,,,,,
bekan,,beckon,,,,,
bezik,,cup,,bēi zi,杯子,chinese,
bejan,,beige,,,,english,
belit,,belittle,,,,,
belan,,bail,,,,,
beloq,,bellow,,,,,
beral,,barrel,,,,english,
bamap,,stage,,bama,בָּמָה,hebrew,
banan,,variation,,biàn huà,变化,chinese,
baqan,,evening,,bàng wǎn,傍晚,chinese,
bagil,,prostitute,,baḡiyy,بَغِيّ,arabic,
bagon,,bag,,,,,
badan,,bide,,,,,
badad,,alone,,badád,בָּדָד,hebrew,
badax,,bud,,,,,
bapas,,bypass,,,,english,
batik,,watermelon,,baṭṭīḵ,بَطِّيخ,arabic,
skoq,,cease,,,,,
batol,,bottle,,,,,
bator,,batter,,,,english,
