concept,form,sounds,why,uses,head
pumice,yauf,4,by load,0,0
punctuated,yaux,4,by load,0,0
puppy,yauj,4,by load,0,0
purged,yauC,4,by load,0,0
purslane,yaul,4,by load,0,0
pursuer,yamp,4,by load,0,0
pursuing,yand,4,by load,0,0
pus,klen,4,by load,1,0
pustule,yaqk,4,by load,0,0
putrefying,yagd,4,by load,0,0
pyramid,yadj,4,by load,0,0
pyramidal,yask,4,by load,0,0
pyre,yazb,4,by load,0,0
pyrenean,yaft,4,by load,0,0
pyrite,yarm,4,by load,0,0
pyrrha,yalk,4,by load,0,0
pythian,yalv,4,by load,0,0
qoph,yalc,4,by load,0,0
quadrangle,yoid,4,by load,0,0
quadrangular,yoip,4,by load,0,0
quadriform,yoik,4,by load,0,0
quadrilateral,yoiv,4,by load,0,0
quaestor,yoic,4,by load,0,0
quail,yomp,4,by load,0,0
quarrel,yond,4,by load,0,0
quarter,yoqk,4,by load,0,0
queen,yogd,4,by load,0,0
quelea,yodj,4,by load,0,0
quickening,yosk,4,by load,0,0
quiver,yozb,4,by load,0,0
quokka,yoft,4,by load,0,0
rabbit,yorm,4,by load,0,0
radiant,yorb,4,by load,0,0
radiated,yolk,4,by load,0,0
radish,yolv,4,by load,0,0
raft,kled,4,by load,1,0
ram,yolc,4,by load,0,0
random,twum,4,by load,4,0
ransom,yump,4,by load,0,0
raphe,yund,4,by load,0,0
rapid,kauq,4,by load,2,0
rat,yuqk,4,by load,0,0
raven,yugd,4,by load,0,0
raw,twuC,4,by load,3,0
razor,yudj,4,by load,0,0
readily,yusk,4,by load,0,0
reaper,yuzb,4,by load,0,0
rebounding,yuft,4,by load,0,0
receding,rimp,4,by load,0,0
reclining,rind,4,by load,0,0
recover,twat,4,by load,7,0
recreated,riqk,4,by load,0,0
recruit,rigd,4,by load,0,0
rectilinear,ridj,4,by load,0,0
reddening,risk,4,by load,0,0
reed,rizb,4,by load,0,0
refuge,klep,4,by load,1,0
reindeer,rift,4,by load,0,0
rejoiced,remp,4,by load,0,0
rejoicing,rend,4,by load,0,0
remember,twoq,4,by load,5,0
renewal,reqk,4,by load,0,0
renewed,regd,4,by load,0,0
repent,klek,4,by load,1,0
replied,redj,4,by load,0,0
repressed,rezg,4,by load,0,0
reproachful,reft,4,by load,0,0
repurchased,raim,4,by load,0,0
resemble,rain,4,by load,0,0
resin,raiq,4,by load,0,0
resounding,raig,4,by load,0,0
restharrow,raib,4,by load,0,0
resume,rait,4,by load,0,0
revolve,rais,4,by load,0,0
rhoda,raiz,4,by load,0,0
rhodopis,raif,4,by load,0,0
rhomboidal,raix,4,by load,0,0
rhubarb,raij,4,by load,0,0
rice,raiC,4,by load,0,0
riddle,raum,4,by load,0,0
ridge,klev,4,by load,1,0
ripening,raun,4,by load,0,0
roam,klec,4,by load,1,0
roar,rauq,4,by load,0,0
rochet,raug,4,by load,0,0
roof,raub,4,by load,0,0
roost,raut,4,by load,0,0
rose,raus,4,by load,0,0
rosemary,rauz,4,by load,0,0
roughened,rauf,4,by load,0,0
ruffling,raux,4,by load,0,0
rügen,rauj,4,by load,0,0
rumour,rauC,4,by load,0,0
rust,raul,4,by load,0,0
sack,ramp,4,by load,0,0
sacrifice,klan,4,by load,1,0
sacrificial,rand,4,by load,0,0
safflower,raqk,4,by load,0,0
saints,ragd,4,by load,0,0
salamander,radj,4,by load,0,0
samaritan,rask,4,by load,0,0
samoan,razb,4,by load,0,0
samothrace,raft,4,by load,0,0
samuel,ralk,4,by load,0,0
sanctified,ralv,4,by load,0,0
sapphirine,ralc,4,by load,0,0
sappho,roid,4,by load,0,0
saracen,roip,4,by load,0,0
sarcastic,roik,4,by load,0,0
sardinian,roiv,4,by load,0,0
sardonyx,roic,4,by load,0,0
sarepta,romp,4,by load,0,0
saronic,rond,4,by load,0,0
satyr,roqk,4,by load,0,0
saviour,rogd,4,by load,0,0
scabbard,rodj,4,by load,0,0
scalloped,rosk,4,by load,0,0
scamander,rozb,4,by load,0,0
scammony,roft,4,by load,0,0
scar,rolk,4,by load,0,0
scarlet,rolv,4,by load,0,0
scorpionfish,rolc,4,by load,0,0
scrofula,rump,4,by load,0,0
sculptor,rund,4,by load,0,0
sculpture,ruqk,4,by load,0,0
scurfy,rugd,4,by load,0,0
scylla,rudj,4,by load,0,0
scythed,rusk,4,by load,0,0
scythian,ruzb,4,by load,0,0
seam,ruft,4,by load,0,0
seat,limp,4,by load,0,0
sebastian,lind,4,by load,0,0
second,liqk,4,by load,0,0
sedge,ligd,4,by load,0,0
seducer,lidj,4,by load,0,0
selinunte,lisk,4,by load,0,0
semicircle,lizb,4,by load,0,0
semicircular,lift,4,by load,0,0
semicordate,lemp,4,by load,0,0
semicylindrical,lend,4,by load,0,0
seminarian,leqk,4,by load,0,0
semiotics,legd,4,by load,0,0
semiramis,ledj,4,by load,0,0
sensitive,kaug,4,by load,2,0
sent,lesk,4,by load,0,0
sepal,lezb,4,by load,0,0
separable,left,4,by load,0,0
seraph,laim,4,by load,0,0
serapis,lain,4,by load,0,0
sergeant,laiq,4,by load,0,0
servant,laig,4,by load,0,0
sesame,laib,4,by load,0,0
sesamoid,lait,4,by load,0,0
seventh,lais,4,by load,0,0
severan,laiz,4,by load,0,0
shaggy,laif,4,by load,0,0
sharpened,laix,4,by load,0,0
shatter,laij,4,by load,0,0
shaved,laiC,4,by load,0,0
shaving,klad,4,by load,1,0
she,laum,4,by load,0,0
sheatfish,laun,4,by load,0,0
sheba,lauq,4,by load,0,0
sheepskin,laug,4,by load,0,0
shepherd,laub,4,by load,0,0
shin,laut,4,by load,0,0
shortsightedness,laus,4,by load,0,0
shrew,lauz,4,by load,0,0
shrublike,lauf,4,by load,0,0
sicanian,laux,4,by load,0,0
sicilian,lauj,4,by load,0,0
sickle,lauC,4,by load,0,0
sieve,laul,4,by load,0,0
signatory,lamp,4,by load,0,0
silent,twex,4,by load,10,0
silkworm,land,4,by load,0,0
simple,smip,4,pinned,0,0
sinewy,laqk,4,by load,0,0
singara,lagd,4,by load,0,0
single,twet,4,by load,40,0
sinis,ladj,4,by load,0,0
sirona,lask,4,by load,0,0
sister,klap,4,by load,1,0
sixth,lazb,4,by load,0,0
slander,laft,4,by load,0,0
slender,larm,4,by load,0,0
smear,klak,4,by load,1,0
snail,klav,4,by load,1,0
sneeze,sniz,4,pinned,0,0
snowflake,larg,4,by load,0,0
soap,twog,4,by load,5,0
sobek,larf,4,by load,0,0
soldered,loid,4,by load,0,0
solidified,loip,4,by load,0,0
solitary,loik,4,by load,0,0
solve,salk,4,pinned,0,0
sonora,loiv,4,by load,0,0
soot,loic,4,by load,0,0
soothsayer,lomp,4,by load,0,0
sorcerer,lond,4,by load,0,0
sorrel,loqk,4,by load,0,0
sosipater,logd,4,by load,0,0
sought,lodj,4,by load,0,0
sour,twaf,4,by load,6,0
sowing,losk,4,by load,0,0
sown,lozb,4,by load,0,0
spaniard,loft,4,by load,0,0
sparrow,lorm,4,by load,0,0
spavin,lorg,4,by load,0,0
spectator,lump,4,by load,0,0
speech,spix,4,pinned,0,0
spelt,lund,4,by load,0,0
spherical,luqk,4,by load,0,0
sphinx,lugd,4,by load,0,0
spice,kaub,4,by load,2,0
spignel,ludj,4,by load,0,0
spindle,lusk,4,by load,0,0
spittle,luzb,4,by load,0,0
spleen,klac,4,by load,1,0
splendid,luft,4,by load,0,0
sponge,wimp,4,by load,0,0
spoonbill,wind,4,by load,0,0
sporadic,wiqk,4,by load,0,0
squamulose,wigd,4,by load,0,0
squeamish,widj,4,by load,0,0
squirrel,wisk,4,by load,0,0
staff,twul,4,by load,3,0
stagnating,wizb,4,by load,0,0
starch,wift,4,by load,0,0
starling,wemp,4,by load,0,0
steam,klon,4,by load,1,0
stench,wend,4,by load,0,0
stentor,weqk,4,by load,0,0
sterlet,wegd,4,by load,0,0
stheno,wedj,4,by load,0,0
sthenoboea,wesk,4,by load,0,0
stilts,wezb,4,by load,0,0
stimulated,weft,4,by load,0,0
stimulating,woim,4,by load,0,0
stink,woin,4,by load,0,0
stirrup,woiq,4,by load,0,0
stoic,woig,4,by load,0,0
stolen,woib,4,by load,0,0
stork,woit,4,by load,0,0
stranger,wois,4,by load,0,0
strangled,woiz,4,by load,0,0
strength,gruk,4,pinned,0,0
strengthened,woif,4,by load,0,0
strengthening,woix,4,by load,0,0
strigil,woij,4,by load,0,0
strive,klod,4,by load,1,0
stroke,woiC,4,by load,0,0
strumpet,womp,4,by load,0,0
stud,wond,4,by load,0,0
stygian,woqk,4,by load,0,0
styloglossal,wogd,4,by load,0,0
subclavate,wodj,4,by load,0,0
subdivided,wosk,4,by load,0,0
subdued,wozb,4,by load,0,0
subfiliform,woft,4,by load,0,0
subject,klop,4,by load,1,0
substitute,klok,4,by load,1,0
suckled,worm,4,by load,0,0
suda,worg,4,by load,0,0
sudan,wolt,4,by load,0,0
suitable,wolv,4,by load,0,0
sulfur,wolc,4,by load,0,0
sulla,wump,4,by load,0,0
sultan,wund,4,by load,0,0
superbly,wuqk,4,by load,0,0
supernumerary,wugd,4,by load,0,0
suppliant,wudj,4,by load,0,0
sura,wusk,4,by load,0,0
surround,twej,4,by load,9,0
surveyor,wuzb,4,by load,0,0
susiana,wuft,4,by load,0,0
suspend,klov,4,by load,1,0
swim,kaut,4,by load,2,0
their,Ceft,4,pinned,0,0
thigh,kloc,4,by load,1,0
tobacco,kaus,4,by load,2,0
tomorrow,klun,4,by load,1,0
tow,kauz,4,by load,2,0
track,drak,4,pinned,0,0
trade,drad,4,pinned,0,0
trail,klud,4,by load,1,0
transparent,klup,4,by load,1,0
trap,dras,4,pinned,0,0
tremble,kint,4,by load,3,0
triangle,draq,4,pinned,0,0
tribe,kluk,4,by load,1,0
twin,kluv,4,by load,1,0
urban,kluc,4,by load,1,0
vibrate,kwim,4,by load,1,0
wage,kwiq,4,by load,1,0
wax,twob,4,by load,5,0
whirl,kwig,4,by load,1,0
wig,kwib,4,by load,1,0
wipe,twax,4,by load,6,0
witch,kwit,4,by load,1,0
your,yart,4,pinned,0,0
swan,mindj,5,by load,0,0
swart,miqkc,5,by load,0,0
swift,mendj,5,by load,0,0
syllogism,meqkc,5,by load,0,0
symmetric,maimp,5,by load,0,0
synapse,maind,5,by load,0,0
tadpole,maiqk,5,by load,0,0
taiwanese,maigd,5,by load,0,0
tamar,maidj,5,by load,0,0
tamarisk,maisk,5,by load,0,0
tamed,maizb,5,by load,0,0
tamer,maift,5,by load,0,0
tangible,maump,5,by load,0,0
tangier,maund,5,by load,0,0
taproban,mauqk,5,by load,0,0
tattoo,maugd,5,by load,0,0
taunt,maudj,5,by load,0,0
teasel,mausk,5,by load,0,0
temple,mauzb,5,by load,0,0
tend,mauft,5,by load,0,0
terebinth,mandj,5,by load,0,0
terpsichore,maqkc,5,by load,0,0
terrace,moint,5,by load,0,0
tesselated,moitx,5,by load,0,0
tessera,moikt,5,by load,0,0
testicle,moisp,5,by load,0,0
thaumas,moizg,5,by load,0,0
theatrical,moifk,5,by load,0,0
thebaid,mondj,5,by load,0,0
theft,moqkc,5,by load,0,0
themis,mundj,5,by load,0,0
themisto,muqkc,5,by load,0,0
theognis,nintx,5,by load,0,0
theonoe,nentx,5,by load,0,0
thesean,naint,5,by load,0,0
thesis,naitx,5,by load,0,0
thessalian,naikt,5,by load,0,0
thetis,naisp,5,by load,0,0
thicket,naizg,5,by load,0,0
third,naifk,5,by load,0,0
thirty,naunt,5,by load,0,0
thisbe,nautx,5,by load,0,0
thomas,naukt,5,by load,0,0
thoracic,nausp,5,by load,0,0
thorn,nauzg,5,by load,0,0
thoth,naufk,5,by load,0,0
thought,nantx,5,by load,0,0
threatening,noimp,5,by load,0,0
thrown,noind,5,by load,0,0
thumb,noiqk,5,by load,0,0
thurian,noigd,5,by load,0,0
thuringian,noidj,5,by load,0,0
thyatira,noisk,5,by load,0,0
thyme,noizb,5,by load,0,0
tiamat,noift,5,by load,0,0
tibet,nontx,5,by load,0,0
tide,nuntx,5,by load,0,0
tiger,gindj,5,by load,0,0
tightened,giqkc,5,by load,0,0
tiresias,gendj,5,by load,0,0
tiro,geqkc,5,by load,0,0
tithe,gaimp,5,by load,0,0
toad,gaind,5,by load,0,0
today,gaiqk,5,by load,0,0
toga,gaigd,5,by load,0,0
tonsillitis,gaidj,5,by load,0,0
topaz,gaisk,5,by load,0,0
torch,gaizb,5,by load,0,0
tormented,gaift,5,by load,0,0
tormenting,gaump,5,by load,0,0
tortoise,gaund,5,by load,0,0
toward,gauqk,5,by load,0,0
towel,gaugd,5,by load,0,0
trachis,gaudj,5,by load,0,0
trachoma,gausk,5,by load,0,0
tractable,gauzb,5,by load,0,0
tragic,gauft,5,by load,0,0
trample,gandj,5,by load,0,0
transalpine,gaqkc,5,by load,0,0
transfixed,goint,5,by load,0,0
transitory,goitx,5,by load,0,0
translucent,goikt,5,by load,0,0
transported,goisp,5,by load,0,0
transverse,goizg,5,by load,0,0
triangular,goifk,5,by load,0,0
tribute,gondj,5,by load,0,0
trierarch,goqkc,5,by load,0,0
trifle,guntx,5,by load,0,0
triumphing,guqkc,5,by load,0,0
triune,grimp,5,by load,0,0
troad,grind,5,by load,0,0
trochanter,griqk,5,by load,0,0
trojan,grigd,5,by load,0,0
trout,gridj,5,by load,0,0
troy,grisk,5,by load,0,0
trumpet,grizb,5,by load,0,0
truncated,grift,5,by load,0,0
truthful,gremp,5,by load,0,0
trypanosome,grend,5,by load,0,0
tumour,greqk,5,by load,0,0
tuna,gregd,5,by load,0,0
turan,gredj,5,by load,0,0
turban,gresk,5,by load,0,0
turku,grezb,5,by load,0,0
turnip,greft,5,by load,0,0
turpentine,graim,5,by load,0,0
twelfth,graiq,5,by load,0,0
twentieth,graig,5,by load,0,0
twenty,graib,5,by load,0,0
udder,grait,5,by load,0,0
ulna,grais,5,by load,0,0
umbilicate,graiz,5,by load,0,0
umbrian,graif,5,by load,0,0
unable,graix,5,by load,0,0
unaccustomed,graij,5,by load,0,0
unadorned,graiC,5,by load,0,0
unafraid,graum,5,by load,0,0
unapproachable,grauq,5,by load,0,0
unavenged,graug,5,by load,0,0
unbreakable,graub,5,by load,0,0
unbroken,graut,5,by load,0,0
unceasing,graus,5,by load,0,0
uncertainty,grauz,5,by load,0,0
unchangeable,grauf,5,by load,0,0
uncle,graux,5,by load,0,0
uncompleted,grauj,5,by load,0,0
uncontaminated,grauC,5,by load,0,0
uncovered,graul,5,by load,0,0
uncut,gramp,5,by load,0,0
undefined,grand,5,by load,0,0
unequal,graqk,5,by load,0,0
unexpected,gragd,5,by load,0,0
unfaithful,gradj,5,by load,0,0
unfinished,grask,5,by load,0,0
unfortunate,grazb,5,by load,0,0
unguiculate,graft,5,by load,0,0
unharmed,groin,5,by load,0,0
unjust,groid,5,by load,0,0
unknown,groip,5,by load,0,0
unleavened,groik,5,by load,0,0
unmarried,groiv,5,by load,0,0
unnamed,groic,5,by load,0,0
unpleasant,gromp,5,by load,0,0
unpleasing,grond,5,by load,0,0
unploughed,groqk,5,by load,0,0
unprepared,grogd,5,by load,0,0
unseen,grodj,5,by load,0,0
unskilled,grosk,5,by load,0,0
unspoken,grozb,5,by load,0,0
unstable,groft,5,by load,0,0
unstained,grump,5,by load,0,0
unstitched,grund,5,by load,0,0
unsuitable,gruqk,5,by load,0,0
untangled,grugd,5,by load,0,0
untaught,grudj,5,by load,0,0
unteachable,grusk,5,by load,0,0
untrustworthy,gruzb,5,by load,0,0
unusual,gruft,5,by load,0,0
unwarlike,glimp,5,by load,0,0
unwavering,glind,5,by load,0,0
unwilling,gliqk,5,by load,0,0
unwritten,gligd,5,by load,0,0
upbringing,glidj,5,by load,0,0
upright,glisk,5,by load,0,0
upwards,glizb,5,by load,0,0
urinating,glift,5,by load,0,0
utah,glemp,5,by load,0,0
vagabond,glend,5,by load,0,0
vagina,gleqk,5,by load,0,0
vain,glegd,5,by load,0,0
valencian,gledj,5,by load,0,0
valerian,glesk,5,by load,0,0
variegated,glezb,5,by load,0,0
varnish,gleft,5,by load,0,0
vascular,glaim,5,by load,0,0
vat,glaiq,5,by load,0,0
veil,glaig,5,by load,0,0
ventricose,glaib,5,by load,0,0
ventricular,glait,5,by load,0,0
verdant,glais,5,by load,0,0
vermiform,glaiz,5,by load,0,0
vesiculose,glaif,5,by load,0,0
vesoul,glaix,5,by load,0,0
vetch,glaij,5,by load,0,0
vetchling,glaiC,5,by load,0,0
viennese,glaum,5,by load,0,0
vietnamese,glauq,5,by load,0,0
village,glaug,5,by load,0,0
vine,glaub,5,by load,0,0
vinegar,glaut,5,by load,0,0
vineyard,glaus,5,by load,0,0
violent,glauz,5,by load,0,0
violet,glauf,5,by load,0,0
violin,glaux,5,by load,0,0
virgin,glauj,5,by load,0,0
visible,glauC,5,by load,0,0
vistula,glaul,5,by load,0,0
volunteer,glamp,5,by load,0,0
vulcan,gland,5,by load,0,0
vulture,glaqk,5,by load,0,0
wardrobe,glagd,5,by load,0,0
wart,gladj,5,by load,0,0
wasp,glask,5,by load,0,0
weasel,glazb,5,by load,0,0
wedge,glaft,5,by load,0,0
weevil,gloin,5,by load,0,0
weigh,gloid,5,by load,0,0
weight,gloip,5,by load,0,0
whale,gloik,5,by load,0,0
wheat,gloiv,5,by load,0,0
whelp,gloic,5,by load,0,0
when?,glomp,5,by load,0,0
wheresoever,glond,5,by load,0,0
wherever,gloqk,5,by load,0,0
whey,glogd,5,by load,0,0
whisper,glodj,5,by load,0,0
whistle,glosk,5,by load,0,0
whitened,glozb,5,by load,0,0
whither?,gloft,5,by load,0,0
wholesale,glump,5,by load,0,0
wick,glund,5,by load,0,0
wife,gluqk,5,by load,0,0
willow,glugd,5,by load,0,0
withdrawn,gludj,5,by load,0,0
withe,glusk,5,by load,0,0
woad,gluzb,5,by load,0,0
woken,gluft,5,by load,0,0
woodcock,dindj,5,by load,0,0
woodlouse,diqkc,5,by load,0,0
woodpecker,dendj,5,by load,0,0
woodworm,deqkc,5,by load,0,0
wooly,daimp,5,by load,0,0
wormwood,daind,5,by load,0,0
worse,daiqk,5,by load,0,0
woven,daigd,5,by load,0,0
wrestled,daidj,5,by load,0,0
wrestler,daisk,5,by load,0,0
wrestling,daizb,5,by load,0,0
writhing,daift,5,by load,0,0
xiphoid,daump,5,by load,0,0
yawn,daund,5,by load,0,0
yesterday,dauqk,5,by load,0,0
yoked,daugd,5,by load,0,0
youth,daudj,5,by load,0,0
zebulun,dausk,5,by load,0,0
zechariah,dauzb,5,by load,0,0
zerah,dauft,5,by load,0,0
zeus,dandj,5,by load,0,0
